t sp li co sp.sd li.sd co.sd
7 49.45 249.55 0.102082733742306 0.604805318829299 15.7696410532189 0.00668318635757262
17 49.9 242.35 0.0973622240733028 0.307793505625546 15.675240281882 0.00677434880980397
27 49.55 231.2 0.0941727991664353 0.68633274115326 18.9586808335224 0.0076045589196903
37 49 216.2 0.0900647740852325 1.25656172487509 15.4292954438865 0.00597533048153669
47 48.35 206.5 0.0883723328269388 0.988086934168084 16.4908267961632 0.00703017061990413
57 47.3 191.65 0.0856128281007612 1.94935886896179 22.1389749204049 0.00796886526798372
67 46.25 178.75 0.0834152465887072 2.35919254697115 23.5369250775301 0.00772794440547042
77 45.15 164.65 0.0802900963951885 2.30045762037858 24.3813453279346 0.00580886742562793
87 44 150.95 0.0779059120613471 2.95581496465242 22.077554689155 0.00797794305126386
97 42.8 141.75 0.0773181527062583 2.6872016358247 21.6305704720742 0.00905969578208092
107 41.55 134.8 0.0779328309310632 3.26826849376982 22.1635072276835 0.00813254432707936
117 40.85 124.95 0.0746658425377369 3.19991776210116 21.8450885724193 0.00790729156797184
127 40.65 120.5 0.0728474490134189 3.09966042282733 20.8137100564938 0.00848812228563401
137 39.5 113.85 0.0729792758569463 2.83771590878075 19.2224512375229 0.00952162687510998
147 39.35 107.15 0.0694777328731939 3.18342748092615 18.6273002818303 0.0103527785437075
157 38.25 101.65 0.0690719633100751 3.10983160823523 20.230968965009 0.00793158416006677
167 37.15 95.05 0.0684365894982346 2.70038983540486 19.4489209550502 0.00919415619483659
177 36.6 91.85 0.0681699580138483 3.92562432178494 21.1044395429268 0.00886471664762813
187 36.4 86.45 0.0650194473820212 3.08476732893815 19.3430934226637 0.011669871089958
197 35.95 83.7 0.0647405255802745 3.33206116074531 18.7282505435252 0.0118220962883017
207 36.3 82.25 0.0618594156207757 2.92178748461676 20.5551248571916 0.0107641286366706
217 34.45 76.75 0.0631016970243519 4.52449473771149 24.5911301938428 0.01019263528529
227 34.7 74.4 0.0602200993530262 4.11799644691956 22.234160535915 0.00856835075135105
237 34 71 0.0610002454550144 3.96032959819202 19.2326476815363 0.0116294813327744
247 32.8 66.8 0.060898087773679 4.40812646680746 20.8367084985281 0.0100429162555039
257 32.55 64.95 0.0612424725622981 4.94682247827623 19.6320763306542 0.0140101312032759
267 32.25 62.85 0.0593692531867215 3.30669177975749 19.6449404226769 0.0112773045008283
277 31.4 61.95 0.0616716151030926 4.01837882995775 19.2667562069187 0.0111766030068757
287 31.7 61.65 0.0604725054280777 3.88112843059037 17.1871279864046 0.00919444433357052
297 31 60.1 0.0620230802058311 4.19272552982199 18.5809749899984 0.0130530127467141
307 31.4 59.65 0.0600876087530558 3.99209745688443 17.5926868777611 0.0129555941489802
317 31.35 56.65 0.0574288245818144 4.57999080670187 17.7653565890708 0.0125276669621896
327 30.25 54.65 0.0591443400140992 5.02493781056044 16.718332200879 0.00817258107482698
337 31.3 56.85 0.0567752380029496 3.92160010307286 16.9683141239938 0.00807168990397977
347 31.1 54.7 0.0560067576465106 4.67805627652295 16.9336165192511 0.00916950572755179
357 30.35 53 0.0580232758977016 3.80131556174964 11.7294052435927 0.0104993390033611
367 30.75 53.6 0.0567672330827968 4.16596485317564 12.3773987574126 0.00796403818043051
377 30.6 52.55 0.0563037394746824 3.99209745688443 13.4300331151373 0.0105095836149421
387 31.15 53.55 0.0550876362850275 2.41214034679402 10.4954877522626 0.00870620998652793
397 30.1 49.5 0.05432529669084 4.30299773108053 12.8288326580567 0.00744312287961974
407 28.65 48.65 0.0593852893703781 3.96398258002439 11.9704680469545 0.0108477367073616
417 28.6 48.55 0.059076975669443 2.37087592074721 9.68164296626951 0.00823948527400846
427 28.25 47.3 0.0594094813114248 3.53739422382307 10.6677082824757 0.00986723172523898
437 30.15 50.25 0.055105927266976 3.24888644890749 11.2150040476798 0.00762009511132024
447 29.1 47.45 0.0562939825933704 3.69779450625996 9.97087864998023 0.00843534112025812
457 29.1 47.75 0.0565118076433486 3.46258193898867 10.5674525138076 0.00845890171062929
467 28.8 46.55 0.0559580157104868 2.62778674132715 9.68164296626951 0.00796177129139862
477 30.15 47.45 0.0522942030845707 2.81490394339244 8.83459110542191 0.0074883224019196
487 27.9 45.25 0.0581369257610181 2.95403381657585 8.69285853293865 0.00661297614384527
497 28.8 46.15 0.055516661036415 3.23793306390293 9.88499660570184 0.0061563979167413
507 28.8 44.75 0.053787422467019 3.36545922415852 9.54697527189137 0.00567048274953846
517 27.9 44.55 0.0573683851245615 3.09328644852551 9.26495945399712 0.00797389633745805
527 26.8 43.05 0.0598314979389724 3.33403501386596 10.0602134538409 0.00908329321427195
537 27.8 43.2 0.0556450186539072 2.91276681633044 9.11101126746035 0.00546145477567985
547 28.2 42.45 0.0538290380255066 3.95501014703602 9.64897049321571 0.00877385456183142
557 28.7 43.75 0.052837621492426 2.86723780520189 9.57450012437093 0.0067295305207601
567 28.2 44.05 0.0553499316757421 3.87434204940522 11.0237781277803 0.00778254534901607
577 27.9 43.15 0.0563024757598901 3.2101811721295 7.4500088307966 0.0106411063694023
587 27.45 42.25 0.0559551982031087 2.66507628013672 7.6287199726463 0.00514043531182512
597 27.95 43.8 0.056425198082498 3.13679353547704 9.41778832009433 0.0106637487158914
607 27.6 42 0.0552750461141268 3.84433965310312 10.2546523459765 0.00835992100037877
617 28.15 42.25 0.0530998072394552 3.55816333461373 10.2488767035325 0.00589845650931661
627 27.4 41.55 0.0551985042457908 3.250910803549 9.28198594902485 0.00644508847944162
637 27.05 41.65 0.0569615956655955 3.64872003512695 10.2457950296438 0.00832018779453978
647 27.15 41.65 0.0564962554495591 3.75954924509785 10.7472150615379 0.00822038206166898
657 25.95 41.4 0.0607775910038992 3.76234809100577 12.5547223239536 0.00775247654370682
667 26.4 40.4 0.0575998349940037 3.80304587071164 11.641124923034 0.00878016820547085
677 26.95 42.05 0.0580072299759762 3.77631120483859 11.0476241789807 0.00920486553909038
687 26.75 41.15 0.0572387437246782 4.10231000393937 11.8111232141125 0.00784090505941885
697 27.1 41.85 0.0564776038169674 4.26614580154031 12.0231137047728 0.00604428339996303
707 26.2 41.1 0.0588441815099113 3.33403501386596 12.0258493517747 0.00526975988419487
717 26.8 41 0.0568631246252037 3.63607654369087 10.3669515389302 0.00664278300894045
727 26.95 41.35 0.0565258730552741 3.50150343649545 11.3149877316956 0.00770419752344135
737 27.35 41.9 0.0561976836743661 3.81513606020739 11.0114772659688 0.00883771538399301
747 27.65 41.35 0.0541997823434983 4.22118716152596 11.0609555121655 0.00822847793788074
757 26.85 41.15 0.057345899041107 4.19617620421761 11.0704680640836 0.00844327597183547
767 26.95 39.45 0.0544139200108461 3.54631016543586 10.75309013114 0.00979923647011316
777 27.1 40.5 0.0558429981397948 4.47095892222357 10.9760504832351 0.0101899849988903
787 26.3 39 0.0556905895234063 3.32613257323529 10.2031986728621 0.00411563215948947
797 26.25 38.75 0.0563208076181624 3.65448534788344 9.002192715345 0.00699869597047545
807 27.25 39.8 0.0534145056098241 3.52248417126921 9.92392112656665 0.00724380386666525
817 26.65 41 0.0572182061826382 3.49849591742087 11.5712893336095 0.00809393767014843
827 26.8 40 0.0552788384556502 3.17224808215512 9.83548891033197 0.00609328253791207
837 26.6 39.45 0.0556919272483334 4.08334228427232 11.3345071631535 0.00891788370485007
847 26 38.1 0.0561476155939605 2.95581496465242 9.29006260247447 0.0079936809160143
857 26.45 38.6 0.0551932989653339 3.30031896385151 8.82222074918602 0.00799004341072722
867 26.75 39.6 0.0550920319577796 3.41629223451082 10.4599486765371 0.00676064709697986
877 26.35 39.6 0.0565064925714252 3.6168465473902 11.1515870949763 0.00603110381342974
887 26.05 38.05 0.0556576931011685 3.31622804117157 10.8892752646571 0.00834321029838448
897 26.55 38.05 0.0543431241556534 4.12278648744422 10.399772264713 0.00946232354731618
907 26.05 38.15 0.0559267553933486 3.11996963547977 10.0224747442934 0.00761045347343086
917 25.5 37.6 0.0572735986577306 3.76269780036108 11.4174381862501 0.00741330493462448
927 26.4 38.4 0.0550860748230213 3.81686010388534 10.7869316646043 0.0100079627121988
937 25.65 38.3 0.0580696566886786 2.90688837074973 10.0895986045035 0.00970983459138612
947 25.55 37.9 0.0581936769031947 3.47131099154196 10.0414928644783 0.00994562406163625
957 25.8 37.6 0.0565286347843429 4.40812646680746 11.5412304370028 0.00943415517334144
967 24.8 37.4 0.0603542647447724 3.44276510656004 10.850175841408 0.00825037643728648
977 26.1 39 0.0567946132789061 3.19374388453426 10.0524937990007 0.00651964364521612
987 27.4 39.65 0.0527890544297844 3.80304587071164 10.7960762852943 0.00885227416274012
997 26.1 39.55 0.0570120068097253 3.41667736412532 12.4244029825857 0.00584297374333702
1007 26.05 38.7 0.0573004781051269 3.85902905705022 9.96889900482601 0.00883972929502999
1017 25.45 38.45 0.0586990316558332 4.1100006402868 13.375055336826 0.00913428251923708
1027 26.3 38.5 0.0552888420500785 3.6288319129758 11.3346232496068 0.00789266817547887
1037 26.2 38.7 0.0561365087933626 4.09878030638384 11.530736955496 0.00710750467487702
1047 26.2 38.25 0.0555099428565131 3.63607654369087 11.8182508279178 0.00980499015799742
1057 25.5 37.3 0.0571263762426384 4.12310562561766 11.7925043097188 0.00915213232301818
1067 25.4 38 0.0579989842339093 4.52362220955031 12.7650839566786 0.00515760615912844
1077 25.15 38.5 0.0602482682979247 3.29712793679271 12.0765104754295 0.00984855176386559
1087 24.95 37.3 0.0589359655678331 3.84536631613467 12.473550965311 0.00634359652007469
1097 25.6 38.4 0.0580643463469175 3.88519456940129 12.5505294499349 0.00799280970075317
1107 25.85 38.4 0.0571820924751908 2.92493814599467 10.6048648220869 0.0106674990425099
1117 24.75 37.45 0.0609238946133964 3.25859188187652 10.9903067339025 0.0110709339551179
1127 26.1 39.7 0.0576019406759678 3.59678218763149 13.1673439754728 0.00961849470139395
1137 25.35 36.95 0.0573968624140537 4.18361465469125 11.3762217389005 0.0091833964575803
1147 25.05 37.75 0.0599567115361841 4.07140218959926 12.003837105824 0.0098453438524904
1157 25.9 37.95 0.0566367419473412 4.22897275071805 12.0545907394128 0.0102484877336565
1167 24.2 35.65 0.0603725875493277 4.65210761517378 13.6160702267964 0.00980660499204206
1177 25.15 36.3 0.056513507010978 3.31305233726751 11.3327657236602 0.00625813509958485
1187 25.15 37.15 0.0584579650431399 3.89702990818176 11.7977473318114 0.00930592701269904
1197 25 37.15 0.0594743788419189 3.71341805944476 10.6882867515898 0.00972538471604753
1207 26.1 36.75 0.0538202990241318 3.61138550464471 11.2945026217928 0.0102621561479935
1217 25.5 36.7 0.0562516568777541 3.22000326904051 10.2602964972035 0.00989691800579374
1227 24.65 36 0.0589650297357323 3.81513606020739 10.9448377641795 0.00758586666101379
1237 25.3 36.15 0.0562658689771918 3.43511280746353 11.1933956091598 0.0104225563176865
1247 25.75 36.35 0.054938514787319 4.54075115510987 11.9352419330318 0.00896776465123382
