t U L S OS WN contrib U.sd L.sd S.sd OS.sd WN.sd contrib.sd
12 0.0186832991569834 0.0734271328516103 0.00991331265059888 0.125280240470165 0.151681447206899 0.171649056926034 0.0157241821833385 0.0322400296820507 0.00864369405659155 0.0177086324843206 0.0220105248415898 0.0584937180295784
22 0.0556991589361674 0.0864255120296206 0.020048082019769 0.137937491785613 0.189059117675518 0.264796979242302 0.0325149662962754 0.0313532234437468 0.0124768310593933 0.0232431203278991 0.031722284655225 0.0959956125466572
32 0.093677936550305 0.115969663879806 0.0388268470323499 0.153829033821518 0.22361836290682 0.312727298307619 0.0507524935410842 0.054026586167391 0.031308957447497 0.0451338783131466 0.0455814273048596 0.138649482910634
42 0.0978606552423239 0.109563004768712 0.0458690567341154 0.140197437522825 0.211999501087876 0.341209301311088 0.044774350031875 0.0401879747846126 0.0197151127525921 0.036881497734382 0.0350810719278336 0.114454205117091
52 0.11417667998419 0.142015601867428 0.0738249208122684 0.122561371391295 0.210291091656064 0.420396037354477 0.0467178115479372 0.04903720437486 0.025360315370635 0.0386505148298962 0.0463209711926921 0.135224747185754
62 0.132036260357047 0.154812215929857 0.0914573439576453 0.140630127291411 0.234492701850404 0.403253168147659 0.0439500295109004 0.0540493760392136 0.0467357682530811 0.0402301555817927 0.0527298338244019 0.107734387707313
72 0.168231945352873 0.189025280463674 0.125024388404676 0.137243379399198 0.275742519590442 0.47461305158267 0.0733202394585432 0.0661487204031466 0.0561278546944165 0.0419218279455757 0.104443450281211 0.122694769335109
82 0.192191003048322 0.2146990269031 0.14586503383843 0.144996601092082 0.321548006561464 0.53749099088821 0.0948979656553064 0.0698184575522203 0.068348325235417 0.064270066015648 0.129521549212165 0.152968524878128
92 0.214386444374109 0.24333169666929 0.188082441901895 0.138821916711975 0.332947975208349 0.553676523002921 0.098880742080126 0.09738859074266 0.0867618550906115 0.0819384602650655 0.161033378788057 0.164318410525268
102 0.2322170950876 0.271808257967155 0.203046867314714 0.120714977908908 0.339282016616541 0.623555615627752 0.116164140482892 0.0832546560155678 0.080970980630191 0.0578999583634378 0.119184018605441 0.163204511348195
112 0.234251940493413 0.284224041008303 0.210023140280626 0.126260276142254 0.364642416338263 0.638233032302332 0.10845210571105 0.118295610826491 0.0969316602394231 0.0593793503607381 0.126572869963699 0.152174707383214
122 0.257467577079266 0.27477312360407 0.210079353323869 0.166751478065974 0.399241322540963 0.600771252754174 0.0801340990839529 0.0709850313020608 0.0665892516100828 0.104995626315318 0.140923769303858 0.126005306581462
