t sp li co sp.sd li.sd co.sd
7 48.2 125.5 0.054047690608383 0.833508753466491 4.8720470138601 0.00241656008569017
17 48.05 118 0.05116049536612 0.887041208323017 8.70571500132014 0.00418346122737364
27 47.25 104.35 0.0466740769125685 1.11803398874989 11.6721666233913 0.00421450893551085
37 45.35 87.6 0.042700262041551 2.73909320377153 12.8120009530538 0.00560768265747011
47 44.1 79.35 0.0408179800280688 2.51102830686847 9.82089608946149 0.00380940341691404
57 41.45 69.75 0.0406326879076526 2.64525394264003 8.4159935461252 0.00360042778424369
67 38.35 61 0.0419818967367382 4.22118716152596 10.1566675015402 0.00698207862176658
77 35.45 51.85 0.0406454964134874 3.72014430959479 12.8525033400215 0.00466501591558837
87 33.4 43.8 0.0379075389729052 5.725290155828 17.111399708966 0.00583380211111325
97 31.1 39.1 0.0382961710039647 7.31185051096758 18.9622894464944 0.00769193849291166
107 30.6 36.1 0.0370947410983109 5.17483790745382 14.2418952020919 0.00606415067821134
117 29.35 33.25 0.0376057631509637 6.09810151647733 14.1118651085569 0.00773460871005662
127 29.1 30.95 0.0351805580387607 5.30044685305921 14.669965737412 0.00695455111572762
137 26.9 28.5 0.0377557857122162 4.75615944135381 14.1439963086444 0.00675662838937512
147 26 26.2 0.0376324692017897 5.3802758684897 13.3242951823075 0.00912878703845269
157 25.9 25.35 0.0361649467540203 4.76721258068839 13.4410016857297 0.00621909266962225
167 25 24.65 0.0380066208273787 4.89897948556636 13.635383537346 0.00667511503489098
177 25.85 24.9 0.0362295748835106 5.73332823337187 14.3009017014202 0.00746229204679216
187 24.95 24.75 0.0386738673140148 4.41856132813909 13.6492721996064 0.00867423623559233
197 25.3 23.85 0.0362125345449514 3.68639033258966 10.9317259194945 0.00642438923174664
207 25.95 24.3 0.0353739538862657 4.5592589425545 10.2294723843978 0.00501245492539612
217 25.25 24.1 0.0378143995425081 4.99341671867228 8.82520314362881 0.00716796490386697
227 24.1 22.35 0.0383990597723831 4.11543947899409 7.84236135222978 0.00687262767567062
