t U L S OS WN contrib U.sd L.sd S.sd OS.sd WN.sd contrib.sd
12 0.0142605589500421 0.0370297478675347 0.00406101834673265 0.39374898921278 0.40206381571321 0.0209805519471096 0.0144731087384972 0.0229978065878172 0.00692543168223064 0.0311005214630735 0.0294785272255972 0.0149406139595264
22 0.037231313229162 0.0318056884539339 0.00608122036693469 0.416641623317177 0.426604617228281 0.0233465338080956 0.0197268321431133 0.0196221525192713 0.00691909894189924 0.0238779755708514 0.0240667591027796 0.0105340956128114
32 0.0545425357711391 0.04142384500766 0.0127722762019522 0.42266403213087 0.436202333587603 0.0307419872328188 0.0194451277007987 0.0222838666117813 0.01056446048543 0.0269934788334263 0.0293120174352029 0.013633362043228
42 0.0672181105688273 0.0473507110817349 0.019856506680827 0.430857693312811 0.445334022094595 0.0325735595989751 0.0224222578748109 0.0259694934876383 0.0192948769976443 0.0294654405760128 0.0295009963381909 0.0114089356506613
52 0.0743463642677584 0.0632638267665904 0.0364941448109583 0.444075899640179 0.462349525616136 0.0395160182497433 0.0279591029526278 0.0297732191709781 0.0188574870496185 0.0286700327869847 0.0291454443239072 0.0159496085885144
62 0.0723236055508961 0.08210992991321 0.0593417254201323 0.455997258074558 0.47749434906149 0.0453855965691386 0.0232046737725399 0.0282248323328789 0.0237325273888474 0.0302727761048184 0.0272264359824485 0.0188966785399794
72 0.0713621053985931 0.0916222070123329 0.0721580712332702 0.455246154234682 0.47592610707615 0.0437385320056508 0.0340472976377546 0.0333509964144731 0.0296897681617289 0.0357797579184865 0.0336347178091403 0.021664421812031
82 0.0764912706982922 0.0934862113534996 0.0749790054635597 0.466245614285771 0.486855692341711 0.0424600675297776 0.0329747133100324 0.0305559095083604 0.0282929711541183 0.0417075975836731 0.0424809138765464 0.013318270296991
92 0.0816168642478321 0.113719995776827 0.0870870825009936 0.475934079826366 0.499633475314279 0.0478166713138201 0.0275075191941357 0.0388328026298866 0.0289290386472647 0.0446942267419115 0.0429218136099147 0.01864377061806
102 0.0823175341593525 0.109331277513943 0.0848070187160197 0.474606609485047 0.49654200974173 0.0446591320933783 0.0325009996419004 0.0388253874194904 0.0245098879190522 0.0445422782515188 0.0426770004269181 0.0176372873860308
112 0.0824180692221208 0.118556575203897 0.0941691491037197 0.484251104280464 0.508054519914546 0.0477222798154738 0.03154298799003 0.0284117205546979 0.0185392766602 0.05321229899196 0.0499836327025045 0.0208367168064773
122 0.0905494965237087 0.119685396717706 0.0951736240579744 0.485255203122933 0.509541656093322 0.0484952630073258 0.0363085048150927 0.03579645212591 0.0271291516457092 0.0497256152156335 0.0465917341803848 0.0195181241221739
132 0.0863541090322674 0.136662414742111 0.108063478028962 0.507116425216371 0.531951931608584 0.0474259643390569 0.0234114374073193 0.0334436330850765 0.0324334227469867 0.0492547667544717 0.0461204634227718 0.0151290322320543
142 0.100329812534518 0.128439588824 0.100712689334167 0.513462647120305 0.540561928670043 0.0507374420166362 0.0514881405309037 0.0499348490516828 0.0401070979359657 0.0511119846040103 0.0487666562409368 0.0206568128705223
152 0.101652389601888 0.134178560905973 0.10789191247706 0.515222746719617 0.542872710400893 0.0509097878836905 0.0332414789988785 0.0357701025096204 0.0376310809992874 0.0320312188539296 0.0327794711911059 0.0151233189213212
162 0.0877713664573135 0.138730128447858 0.106071476303027 0.503401257503575 0.532795259152164 0.0552543585493433 0.0485646805721988 0.0477352262456724 0.032195321738328 0.0376317053158728 0.0374921565038804 0.0196582869208239
172 0.10853761432019 0.152649552857677 0.128263777726408 0.511496449332464 0.546047626885725 0.063745888770832 0.0340799301201445 0.0352905935531313 0.0232043680020551 0.0517922602677059 0.0511573755094891 0.0196630499459621
182 0.097460652307607 0.162746494673543 0.126959737864513 0.525946814626453 0.557012357684063 0.0559554545752026 0.0421058283215793 0.0452892092236569 0.0321588812612602 0.0425975439968996 0.0422233968987263 0.0189468484904513
192 0.104726921348133 0.159765423224034 0.126539097114741 0.529380061262082 0.562636785640313 0.0598253902257215 0.0381907809154841 0.0339388266131383 0.0395181090897951 0.0555062260876802 0.0530564978228393 0.0183890763217906
202 0.128200130477429 0.172605393399905 0.131960277280192 0.549740855180515 0.588062331063878 0.0660995241164126 0.043920804367122 0.0495770069870764 0.0470969799476925 0.0593424466402811 0.0545798665933456 0.0241714421021606
