t U L S OS WN contrib U.sd L.sd S.sd OS.sd WN.sd contrib.sd
12 0.0151269400760612 0.0516388468402807 0.0147371952941573 0.0516111301724759 0.086370260172765 0.383485434346476 0.0158917500333283 0.0313634783954466 0.00955599578291201 0.0163778887513408 0.0282915734238722 0.161584620915439
22 0.0167403375666612 0.0491662320494032 0.0150116951249529 0.0486731934480715 0.0858166579492946 0.408741389988687 0.0287077984536539 0.0345395228505895 0.0195406008720855 0.0225373724169213 0.0311371196196454 0.220615026483233
32 0.022652705860115 0.0488431723728222 0.0160134548223648 0.0435417405014923 0.0806954221776084 0.433065155966033 0.0290627682562673 0.0316287862615861 0.0241097153694996 0.0201383266798762 0.0294645105042803 0.234020718837689
42 0.0356637671900844 0.0608005729431585 0.0321484775585375 0.0433255802510571 0.0889927603986072 0.502584617273021 0.0336846403950293 0.0333105445500829 0.0216063235120248 0.0166266559261058 0.030114801429937 0.175121658685325
52 0.0417453055503074 0.0493391686291023 0.0296842404553006 0.0456707570268335 0.0876035705113697 0.468945228465949 0.0274600353215334 0.0345106699453888 0.0270504177189333 0.0239645257368421 0.0308421105163402 0.226088776681568
62 0.0565560038173257 0.0515747022583179 0.0279683788807176 0.0489815167831531 0.0995274460201315 0.489479546049987 0.0517094959343091 0.0250697739787995 0.0227954757664518 0.0196206013642761 0.036832518218729 0.171867726275197
72 0.0621713069139489 0.0673131152620559 0.0472153334621844 0.0508750564118446 0.108089169603578 0.469030995529385 0.0553638796772298 0.0435537313878758 0.0396068898068278 0.0194713975019961 0.0375809676658422 0.245713667597399
82 0.0801211458247012 0.0776109395458476 0.0597028494617892 0.05885276928081 0.128037830042053 0.517498110240775 0.0490473456778717 0.0437930226655747 0.0363210820787957 0.0240177221287218 0.0475182453266173 0.193394251898016
92 0.0851248237790601 0.078626656156789 0.0623936977558837 0.0597923831148976 0.133891340767765 0.548056253959462 0.052769397952305 0.0459509266302893 0.0402838567856697 0.0311785957688696 0.04918451877158 0.210727729606459
102 0.0783821713918626 0.0743235729978454 0.057965219823992 0.0559920066680082 0.124783350647868 0.553554543322926 0.0554597946875067 0.0374608843710021 0.030687703771136 0.0310849106299693 0.033336907161542 0.233383246596396
112 0.0866647785902571 0.0704750043991267 0.0615478619425494 0.0620139174411632 0.134690581498487 0.527194102693575 0.0526022011782303 0.0404392120494282 0.0386865276269525 0.031064271003328 0.0391597559215886 0.235421933765904
122 0.0931305457877466 0.0846990183380763 0.0706711788832173 0.0582485124867073 0.136508919720641 0.547921647371228 0.0616273826066624 0.0422156634278511 0.0453884744482149 0.0358247496172202 0.0533775838962093 0.237403662371436
132 0.149102444473077 0.136057632620106 0.109510526162135 0.0532998059888922 0.176268385179089 0.703565834327124 0.0382721380786269 0.0672373190748909 0.0396256728626086 0.0354871097321878 0.0490607116391614 0.187464479898354
142 0.147559352157639 0.126853525906969 0.110226763077259 0.0423184978105749 0.16554698175251 0.739134133420995 0.0446482262527858 0.0591738083857115 0.0488897791143547 0.0291555236605044 0.0500381444166511 0.170482420005902
152 0.133729908764391 0.129897316878429 0.109069818647234 0.0554832949783675 0.173642859040458 0.662618498710383 0.0627855062418002 0.062051140881535 0.0499836936220292 0.0344913935634224 0.0654447708257725 0.205012209379513
162 0.125551913617506 0.127128345387561 0.111361490438502 0.0590862655218116 0.169186592265996 0.656080234595365 0.0664990547356231 0.0507634921767249 0.0439011063584482 0.0391852451652111 0.069207004430003 0.199853188495936
172 0.137311722793574 0.114274734165002 0.108131829671657 0.0497858716054895 0.161486312208894 0.685426595432383 0.0634887095554586 0.0465154106118704 0.0464094402460347 0.0349999726195483 0.0589643439816261 0.182779516336602
182 0.163680316488872 0.141646896198869 0.135066046736299 0.0495132208480869 0.184924561755521 0.762620873543106 0.059218263034215 0.0536862391411458 0.0478924684925867 0.0389856381049081 0.0775422224566328 0.178944535996961
192 0.131518206486722 0.135726614203844 0.117028133689515 0.0462831105958308 0.167124253997211 0.700279567468215 0.0743266422581364 0.0745946302493041 0.0591723029125905 0.054070062011479 0.0873577414585899 0.249895455646516
202 0.138190698320432 0.123402974444308 0.117079274979242 0.0486320131532202 0.16678682531254 0.722459107927249 0.0727463496643187 0.0572301995692838 0.0537968957746168 0.0452196818300001 0.0781368137033585 0.175531768902287
212 0.196736674493826 0.155722473838613 0.157009564111266 0.055611706508737 0.213700973750771 0.719842111022992 0.103870879574426 0.0714984927420981 0.0761365928724599 0.0352008575864381 0.0685710986746148 0.17118483498864
222 0.178613567044216 0.169032805330795 0.149982178582764 0.0439433334524837 0.198163589623434 0.764784798101887 0.0853295863449497 0.0770544420040746 0.0727515169288186 0.0319048639126218 0.079304780884068 0.18397522482803
232 0.201092263952676 0.178333998563963 0.175114055916831 0.0526912741620793 0.225171314213705 0.764005195495707 0.0633448006534359 0.0781931248091282 0.0653446254869525 0.0408656161104054 0.0924811630159873 0.158070787285616
242 0.215913250034723 0.187362891582518 0.178262198305541 0.0415532272035188 0.239965112350922 0.823813401079909 0.0934729374794092 0.0601053715737959 0.0685476659483506 0.0330530944069441 0.0941385198100806 0.142639623094836
252 0.228671865341202 0.200579070584614 0.187033300252721 0.0393413657229447 0.253971713388015 0.84985334218229 0.0983427701095051 0.0673312130801504 0.0720983762376944 0.0435294748456807 0.0936458827508458 0.154699058163777
262 0.195789016315667 0.178677632930996 0.164474407040283 0.0349373513253494 0.211669005520676 0.829604792525822 0.0897814292460669 0.0700518329047742 0.0706484020316943 0.033583106993074 0.0854869991524949 0.151944444511325
272 0.202457664092238 0.169744048578298 0.168188709110401 0.0510423909800143 0.230756182136987 0.771911483712217 0.0922175237980473 0.0674051095711846 0.0739779901892575 0.0395015038110886 0.0868642211106168 0.17453289525106
282 0.224362087281558 0.21319655762778 0.197218521323508 0.0411041737895285 0.265258041247302 0.822689779467125 0.114731549633564 0.0900812858642167 0.0885208447952325 0.0385899032048881 0.100594805951201 0.156998553165573
292 0.249491592171159 0.229268247161129 0.211573071981171 0.0320439276254372 0.279521250612138 0.871153931674395 0.114748389130035 0.113281651019481 0.106477628918502 0.0342472771250404 0.120013770258511 0.134796418191188
302 0.22235671308844 0.2159459637948 0.203015639207129 0.0439149470930362 0.261801736648025 0.821401737714466 0.0755343307958728 0.0941155083151237 0.0756068560987151 0.0423968520996319 0.110528002486099 0.177066779831825
312 0.222421483745013 0.198171099978903 0.188131360740044 0.0305752616947438 0.242952643752247 0.882710838095267 0.0818398086666623 0.0770138887717414 0.0699851659189849 0.0447354432990972 0.0773309961015901 0.153494391228669
322 0.239297175245149 0.223088527025032 0.215842863731333 0.0281028179480192 0.251869345724238 0.888858161907329 0.0926659746602099 0.069723417467542 0.0743804494531706 0.0359135738117593 0.09264066650485 0.14763455544148
332 0.248699306489117 0.203061373209257 0.210776910531509 0.0391399981031241 0.268750428688796 0.847451308405538 0.0819200102541056 0.0827177782588125 0.069330131104991 0.0423149905847046 0.0908148172683266 0.145290867370506
342 0.2574156860474 0.244574099756653 0.235069038385424 0.0225832443501086 0.283067827978878 0.902925989506306 0.0797745057626422 0.0900348980941341 0.0762066379192549 0.0268398108284604 0.0980555119604337 0.136132708578969
352 0.244010812944552 0.224030083639093 0.220080794977134 0.0113264988089672 0.254412575720057 0.952029039396134 0.10844633801974 0.0740274645974257 0.0814059073167456 0.0214136468013435 0.0979347765266998 0.0876399991540088
362 0.267643173072571 0.257756276089672 0.240777307649168 0.0264250947997078 0.29773734050854 0.90904944900301 0.103392637788976 0.0770995494178285 0.0674834879381496 0.0300343928890073 0.0961320164520612 0.101023650561386
372 0.266592367340113 0.222598000484512 0.217769298405488 0.016539696783875 0.285525831145016 0.928917848044379 0.102773855549298 0.070933092554145 0.0736979208446158 0.0237102778226091 0.0985546633753028 0.107244432431162
382 0.263408371869975 0.233024736686142 0.239536508199132 0.0286266949424844 0.290061996036034 0.893880756299303 0.124236403592334 0.102968602676803 0.101120756478564 0.0463173566879881 0.103150847040126 0.175676481330681
392 0.238983421978778 0.22921417551133 0.221496944004848 0.0241784091737118 0.276939918341364 0.904813151556106 0.0979011421461514 0.0966322794890076 0.093946749298993 0.0325241388870099 0.105170761748552 0.141222817134046
402 0.244854840721714 0.221032161904616 0.214738795936444 0.0209343434343434 0.266021011974371 0.914191558441558 0.110111029918291 0.096351804481032 0.0917364587962364 0.038664660893258 0.098180343349881 0.162334415762495
412 0.256129045439686 0.251917529129486 0.239011346753188 0.0210392582246129 0.275727317305539 0.923925435219381 0.124783569660901 0.0916905609792015 0.0959326252946076 0.0317383059659412 0.108365889335435 0.119008351574801
422 0.243540771719867 0.212001197994076 0.211031501393565 0.0217785086542658 0.263104592662314 0.929668081167274 0.111823485869954 0.0779213834480632 0.0780542297096932 0.0417872925391865 0.1041462444374 0.11908829325192
432 0.298616210127349 0.243130623582648 0.255752968498224 0.0217211282261498 0.295760940209216 0.927705830383018 0.113684961391993 0.114296110162425 0.101013751832509 0.0349797846023006 0.118164347122453 0.108500093373533
442 0.326562333435399 0.26680699775265 0.270293374489549 0.0171094591682827 0.314924664647121 0.936457211089564 0.0899200865485986 0.085795516609353 0.0755703111384463 0.0282552688805099 0.0812258765519639 0.106126689704014
