t U L S OS WN contrib U.sd L.sd S.sd OS.sd WN.sd contrib.sd
12 0.0117137403595233 0.055624396076264 0.0055658627087199 0.241259593862003 0.254027113042817 0.0504630652060364 0.0133187419968056 0.0241650462397609 0.00613527428101932 0.0178421334550399 0.0166996151679755 0.0261610500652781
22 0.0184464268359686 0.0557736297171057 0.00457637600494745 0.250985133602371 0.26554764938331 0.0544658265805171 0.0188893237561772 0.0230407047175385 0.00773476857068517 0.0219649639377963 0.0236837942774496 0.023294625470057
32 0.0273692903261618 0.0638508492990041 0.00775736116518341 0.256732009107565 0.275158466507985 0.0664366244307981 0.0163741809772494 0.0303428681231588 0.00956427456245851 0.0184996895591425 0.0201982233049868 0.0285679059035392
42 0.034862569302207 0.0640223512653527 0.0160933031149894 0.252090688256593 0.272824815725502 0.0766533479066947 0.023736576714361 0.0280534218987845 0.0155681163033888 0.0233108663561956 0.0207775564231247 0.0359538566485181
52 0.0479609804926771 0.0674723605381349 0.0227789674817852 0.264390982169367 0.288411635993327 0.0824258287140863 0.0339363249861989 0.0261228990514822 0.0207530077780389 0.0291995993840294 0.03255535609254 0.0355500444862124
62 0.0519833372992424 0.0717522892304515 0.0308729897323053 0.261830544524042 0.288535245431216 0.0909636944710523 0.0346831548224911 0.034325554885774 0.0225927722418566 0.0299864721593422 0.0349126018561131 0.042840844903014
72 0.0754126827246858 0.101947171645287 0.0512541754226738 0.270594672474189 0.311840661454371 0.129858823253313 0.0275084616987379 0.0374722606579288 0.0305666141815945 0.0349138085912528 0.0434286524242702 0.0559964193267758
82 0.085935510153737 0.106039776866168 0.05678306220771 0.272294771132819 0.311476992901624 0.124982054888645 0.0318645414909277 0.0463991351806936 0.0355538644171927 0.0256232529943809 0.0294065067596669 0.0376601776715575
92 0.0883042688109535 0.108923661009986 0.0609143591917309 0.266279943657192 0.304773517446373 0.124979417341315 0.043956438144514 0.0425470337562543 0.032187395557331 0.0316579048316804 0.0369469166075982 0.0482743457549404
102 0.102900085792448 0.132700231697699 0.0840603377262636 0.265608945629946 0.312157516129221 0.150256355127962 0.0474099635650788 0.0505401978936151 0.0382494226547542 0.0367571447079505 0.0309524414148606 0.072139527309226
112 0.106197418004406 0.135207220069176 0.0879943611389811 0.252245065072854 0.304682548536346 0.17643843037531 0.0341143706190765 0.0493151912980321 0.0394358850996075 0.0417092997304766 0.0289610628902482 0.0890030510004589
122 0.116502805320209 0.124281304484556 0.0839620988807774 0.260517060802656 0.311663735550905 0.166867216230042 0.0360335047153607 0.0411623778987687 0.0304731095742715 0.0436086755758312 0.0402657574371014 0.0517115144869795
132 0.119508443940115 0.154289411692686 0.105947078945575 0.257970174229112 0.315979532262786 0.18542687163708 0.04701541667307 0.0497406976277477 0.0408715478502273 0.0374527694909257 0.0330940680771899 0.0599745990965426
142 0.123181073128167 0.155719766557145 0.102260005806876 0.260494298993513 0.320455751578502 0.188923599262026 0.0551827655855766 0.0473353841998729 0.0435091999597653 0.0422215871593876 0.0374819240146284 0.0666738879726596
152 0.129887511491923 0.158378896987327 0.106849890100399 0.282183201301788 0.3494125824155 0.19104485515035 0.0525391224333105 0.0480667674039496 0.0337802427319888 0.0444891684384269 0.0536044069543728 0.0616058591698395
162 0.129161402569887 0.171334612769534 0.121222915244371 0.273286321128755 0.341472867236087 0.199110380658376 0.0441079330016583 0.0613811425789065 0.0496166156399593 0.045923372186736 0.0530276860707358 0.0664651612612833
172 0.147216900214365 0.167577297973774 0.125404447317519 0.256122743058474 0.331370627958325 0.226872858604956 0.0520953471064143 0.0631616300175583 0.0497338537490901 0.053131419085269 0.0596046359680549 0.0856672609692057
182 0.170884062196663 0.187462810600605 0.131292930045899 0.262826366158827 0.344610381365986 0.239098124848342 0.0652706755116187 0.0587482655043863 0.0473474379631716 0.0632153791658144 0.0782188833079661 0.0695180899505577
192 0.146596005733696 0.197462992500324 0.142210444936996 0.26079432199618 0.349052379905412 0.248052381643689 0.0557952311968387 0.0708714079269064 0.0590005862410421 0.0429237319718804 0.0641478410967983 0.0706156424867312
202 0.179673536641392 0.192942546722534 0.144058355502768 0.253005817556718 0.35025565915622 0.270775265615745 0.0646854724922392 0.0607679640614099 0.0495419190192157 0.0428232588197778 0.0622077419744135 0.095609623447094
212 0.169611665792369 0.210846050934943 0.156296329188636 0.244530555275984 0.349560698518643 0.297214721832683 0.0913148359828788 0.0686466149232061 0.0537668458920572 0.0552423247920108 0.0665964512347774 0.123672269963624
222 0.174856494887027 0.21790155331712 0.167763960068349 0.242409008440582 0.356089209058432 0.30717153722095 0.0686191008384595 0.0794721155001525 0.0686092503153533 0.0432231486457456 0.0744203106628501 0.110792206614989
