t sp li co sp.sd li.sd co.sd
7 49.95 595 0.238506339025406 0.223606797749979 37.4250127447856 0.0154055204784214
17 49.85 574.85 0.231358408996252 0.366347548532523 32.3911537631073 0.0133808107930146
27 49.9 549 0.220491453561016 0.307793505625546 33.450670672216 0.013431335525944
37 49.85 517.7 0.208306264056643 0.366347548532523 33.8434476282843 0.0130410045066938
47 49.75 482.1 0.1947872185056 0.550119604220181 36.4285891198542 0.0143597602768539
57 49.75 449.55 0.181635893377759 0.444261658319319 34.0285870532719 0.0135464965373983
67 49.5 416.35 0.169879100100074 0.606976978666884 33.1492240125101 0.0125188216104339
77 49.1 382.5 0.158822041823582 0.911909506128991 27.6662439198309 0.0127673124712935
87 49.2 354.45 0.146471390392892 0.767771895949914 29.2817079599642 0.012183612015246
97 48.45 326 0.138940774320125 1.19097483291276 26.1211751166306 0.0108244658831208
107 47.5 293.7 0.1302592388633 1.23544153624268 25.7459245625195 0.0114576711458554
117 47.2 273.2 0.123166937185093 1.67332005306815 24.4574819033488 0.0148596305150126
127 46.75 244.8 0.112684390460623 1.83173774266262 18.4550663419076 0.0136024700335635
137 45.35 217.8 0.106390461626199 1.8144159564879 18.5177013464926 0.0121972232624654
147 44.85 200.35 0.0996157968876034 1.22581873821025 18.9966063451233 0.00874300473890998
157 44.35 183.2 0.0935517902539625 2.43386199496321 16.8322997771984 0.0099850740726073
167 42.75 166.9 0.0918479920421848 2.19748660255781 13.7645616673666 0.0108686605758725
177 40.7 152.6 0.0929622839985799 2.47301222675591 12.5923953659592 0.0126787056327722
187 40.4 135.8 0.0835946182295543 2.11261872914562 10.1338411691769 0.00830142008854273
197 39.4 125.9 0.0820982031002991 2.90915071708855 9.64037562054836 0.01165856976003
207 38.7 113.8 0.0761517461926353 1.86660400897346 10.3902788575111 0.0069948659532841
217 37.35 105.6 0.0760948199040526 2.13430624744781 11.3619864830982 0.00980403532658584
227 37.5 96.85 0.0691546857134406 2.35081172990814 10.1113537018646 0.00748673126819501
237 37.3 91.05 0.0661381927419642 2.84882247142292 9.63259269902258 0.00998238837614959
247 35.7 83.55 0.0663892674557902 2.92178748461676 9.77900543861292 0.0108883519019604
257 35.75 76.2 0.0603103121691889 2.7505980211009 9.26566951595768 0.0100008379014838
267 35.5 72.05 0.05768443795376 2.81910773491412 9.15638977349755 0.00830930514456288
277 33.8 65.75 0.057843014053973 2.70671679151582 8.28997492218923 0.00693024865481058
287 34 62.3 0.0547394022776109 3.26061021089127 8.77856240478684 0.0106025974251536
297 33.5 58.45 0.0525214148013701 2.56494588021289 8.51917342172782 0.00886510345442588
307 32.25 55.65 0.0536357436779323 2.73139640400098 8.60400763414474 0.00659817537447331
317 31.9 52.55 0.0518214474280815 3.14391643119148 8.47581699213772 0.00601876488911607
327 30.65 49.05 0.0532613202860019 3.85630038139911 6.77048548364226 0.00904988696812598
337 31.2 48.15 0.0499903421019994 2.62778674132715 6.98325063803987 0.00846091809768866
347 30.3 46.85 0.0519581482399076 3.2783179255607 6.42589334358717 0.0097556031220044
357 30.2 44.95 0.0507367324915548 4.0859193386685 7.81008120451078 0.011861527510551
367 30.85 43.55 0.0467685861746351 3.89702990818176 6.26162077555341 0.00858834334428846
377 29.95 42.25 0.0478298705421283 2.56443283972766 5.09772911258171 0.00907214297948327
387 30.1 41.15 0.0459481020111647 2.61372893532754 6.1411039638437 0.00782368724099903
397 29.3 39.7 0.0470021395868391 2.97533722104695 5.06899761709406 0.00805261664800783
407 28.8 40.1 0.0488985378539832 2.87640126034709 5.72988472374169 0.00750836001889915
417 28.65 39 0.0480542798735566 2.77725726117276 5.08868714327235 0.00701155325967391
