t sp li co sp.sd li.sd co.sd
7 39.15 42.95 0.0280584034636381 0.875093979915421 2.91050728079813 0.00223342408053869
17 39.3 42.45 0.0274807655314061 0.732695097065047 2.89236745135956 0.00163370106051196
27 39.15 42.2 0.0275456995276597 1.22581873821025 3.51837282965024 0.00210897804780178
37 38.95 42.1 0.0278030989332654 1.39453821823042 2.59351417761185 0.00200885865709597
47 37.45 39.8 0.0284401041235049 2.23547946111178 3.70774438453524 0.002237153476153
57 37.5 39.1 0.027850035155447 2.13984751055328 4.01182462753611 0.00239017401061231
67 37.55 38.15 0.0270574133161895 2.11448637535903 4.2087002619261 0.00207872648795679
77 35.7 36.05 0.0282872791031932 2.38636477557503 4.17353819350339 0.0019515333013152
87 34.25 34.2 0.029277416929643 2.76966651992238 4.17511424363076 0.00307837041552574
97 33.75 32.15 0.0284756910029871 3.59641634496283 4.57999080670187 0.00373693488475975
107 32.8 31.1 0.0293350716648303 3.27028085064651 3.4928498393146 0.00453266747435783
117 31.7 29.4 0.0294991211271471 3.49586221576008 4.63851155799834 0.00381585745408673
127 31.05 28.5 0.0297326071298308 3.153527682153 4.47801647819069 0.00378798946846579
137 29.8 26.8 0.030405438515329 3.44276510656004 4.04709122314052 0.00350303917084217
147 29.8 26.4 0.0299651914902904 3.36545922415852 4.22274542772453 0.00384727367145681
157 27.85 24.1 0.0311585031463252 2.45539148984863 3.41667736412532 0.00330551352488066
167 28.1 24.15 0.030903882558742 3.38572856188101 3.99044912391153 0.00447070052965636
177 26.65 22.6 0.0320208954750482 2.96070759678902 3.84433965310312 0.00409433330399883
187 25.4 21 0.032715377665844 2.47938871923154 3.44887472113808 0.00433970661331842
197 25.65 21.25 0.0324754662265485 2.88872581636009 3.98516987685198 0.00461364473074666
207 26.1 20.8 0.0306804969171797 3.37014758383696 4.09878030638384 0.00382541598874845
217 25.2 20.15 0.0320615587192458 2.56699701679034 2.96070759678902 0.00501333351813744
