t sp li co sp.sd li.sd co.sd
7 49.65 346.7 0.140608840659563 0.670820393249937 25.5859747764895 0.00959776468733944
17 49.85 334.35 0.134621557684298 0.366347548532523 21.7528582513945 0.00986066010220002
27 49.45 319.5 0.130682241166875 0.604805318829299 19.2722871665918 0.00804146557752112
37 49.2 297.65 0.122992940499329 0.833508753466491 19.3670229758569 0.00784412998014604
47 47.8 279.75 0.122691411878464 1.47255595908325 21.2476004837203 0.0112741502456112
57 46.3 253.1 0.118105597841554 1.38031270293899 20.5372575425353 0.00886629031408441
67 44.45 230.95 0.117141324559999 2.25890052435856 26.709893692275 0.0132414984540246
77 42.15 214.65 0.121234652701735 1.89944590258373 22.3566191776089 0.0139558102656758
87 40.6 199.6 0.121648063211757 2.52148661246537 18.1090265366547 0.0126078638214611
97 40.05 188.7 0.118015698162903 2.23547946111178 18.9711692617481 0.0119524799432831
107 39.15 182.75 0.119633007744503 2.05899822345978 20.4858744658747 0.0143942195548952
117 39.55 180.7 0.116075989877314 2.08944716939295 20.1914520736401 0.0148158123128118
127 38.45 171.35 0.116771850790305 2.56443283972766 17.1196255492744 0.0151582780288611
137 38.1 161.8 0.112091451420419 2.33733991852637 18.2052623971029 0.0148682952378602
147 38.1 157.9 0.109123188961322 1.5183093090325 14.1752192965493 0.0120062926178235
157 37.75 151.75 0.10767170286599 2.29128784747792 12.5943805346921 0.0165493836478852
167 37.15 145.8 0.106413012703521 2.41214034679402 17.7574298756738 0.0157476001889233
177 37.25 142.1 0.103055516016648 2.2213082915966 15.3756471836404 0.0136062864865976
187 36.6 135.15 0.101583633811584 2.13738650052619 15.4008714722662 0.0145719335601388
197 36.3 132.5 0.101579720780434 2.79284800875379 14.5403250524732 0.0144852425805791
207 36.55 123.9 0.0930826762579293 1.8202082009311 12.0520799689907 0.0102643430105889
217 35.95 118.6 0.0921497442177115 2.11448637535903 12.4874674015696 0.0100886862593376
227 35.25 117.35 0.0955289449454145 2.5520889276702 12.5918729011174 0.01515283799779
237 34.95 110.9 0.091726039581341 2.60515682930283 13.8560266196414 0.0146153312546271
